input;measured;model;input
3.000000;0.000000;0.000000;3.000000
3.000000;-0.348620;10.027864;3.000000
3.000000;1.060690;18.938045;3.000000
3.000000;8.660903;26.855115;3.000000
3.000000;5.942946;33.889766;3.000000
3.000000;7.905915;40.140349;3.000000
3.000000;19.532729;45.694256;3.000000
3.000000;17.670425;50.629136;3.000000
3.000000;21.948690;55.013985;3.000000
3.000000;31.209875;58.910108;3.000000
3.000000;25.975292;62.371977;3.000000
3.000000;38.759754;65.447994;3.000000
3.000000;38.306761;68.181164;3.000000
3.000000;42.987686;70.609702;3.000000
3.000000;41.427378;72.767559;3.000000
3.000000;41.830038;74.684907;3.000000
3.000000;41.477711;76.388551;3.000000
3.000000;46.913623;77.902310;3.000000
3.000000;46.057970;79.247349;3.000000
3.000000;49.983907;80.442473;3.000000
3.000000;46.309633;81.504391;3.000000
3.000000;53.406519;82.447949;3.000000
3.000000;56.627801;83.286341;3.000000
3.000000;56.225140;84.031288;3.000000
3.000000;50.084572;84.693204;3.000000
3.000000;54.614500;85.281344;3.000000
3.000000;54.866162;85.803932;3.000000
3.000000;53.104524;86.268273;3.000000
3.000000;59.798750;86.680860;3.000000
3.000000;53.960177;87.047460;3.000000
3.000000;56.929796;87.373200;3.000000
3.000000;54.664832;87.662634;3.000000
3.000000;63.875684;87.919808;3.000000
3.000000;59.597420;88.148318;3.000000
3.000000;65.637323;88.351359;3.000000
3.000000;57.231791;88.531769;3.000000
3.000000;59.849082;88.692071;3.000000
3.000000;61.812051;88.834507;3.000000
3.000000;61.409391;88.961066;3.000000
3.000000;62.164378;89.073520;3.000000
3.000000;60.352407;89.173440;3.000000
3.000000;67.700956;89.262223;3.000000
3.000000;62.969699;89.341110;3.000000
3.000000;69.261264;89.411205;3.000000
3.000000;62.567039;89.473487;3.000000
3.000000;67.046633;89.528827;3.000000
3.000000;59.194759;89.577999;3.000000
3.000000;62.617371;89.621691;3.000000
3.000000;64.832002;89.660513;3.000000
3.000000;67.449293;89.695007;3.000000
3.000000;64.630672;89.725658;3.000000
3.000000;63.070364;89.752891;3.000000
3.000000;61.208060;89.777090;3.000000
3.000000;69.814922;89.798591;3.000000
3.000000;67.801621;89.817696;3.000000
3.000000;64.681005;89.834672;3.000000
3.000000;71.022903;89.849755;3.000000
3.000000;65.788320;89.863157;3.000000
3.000000;61.661053;89.875066;3.000000
3.000000;66.845303;89.885647;3.000000
3.000000;61.862383;89.895049;3.000000
3.000000;67.801621;89.903403;3.000000
3.000000;62.516706;89.910825;3.000000
3.000000;68.657274;89.917421;3.000000
3.000000;62.516706;89.923281;3.000000
3.000000;67.298296;89.928488;3.000000
3.000000;71.173900;89.933115;3.000000
3.000000;63.825352;89.937226;3.000000
3.000000;68.103616;89.940879;3.000000
3.000000;72.029553;89.944125;3.000000
3.000000;63.875684;89.947009;3.000000
3.000000;68.053284;89.949571;3.000000
3.000000;72.482546;89.951848;3.000000
3.000000;64.681005;89.953872;3.000000
3.000000;68.304946;89.955669;3.000000
3.000000;69.814922;89.957266;3.000000
3.000000;72.532878;89.958686;3.000000
3.000000;63.825352;89.959947;3.000000
3.000000;65.184330;89.961067;3.000000
3.000000;67.600291;89.962063;3.000000
3.000000;70.771240;89.962948;3.000000
3.000000;72.482546;89.963734;3.000000
3.000000;64.580340;89.964432;3.000000
3.000000;66.744638;89.965053;3.000000
3.000000;66.895636;89.965604;3.000000
3.000000;68.103616;89.966094;3.000000
3.000000;70.217582;89.966529;3.000000
3.000000;71.073235;89.966916;3.000000
3.000000;72.482546;89.967260;3.000000
3.000000;62.718036;89.967565;3.000000
3.000000;64.228012;89.967837;3.000000
3.000000;66.543308;89.968078;3.000000
3.000000;68.506276;89.968292;3.000000
3.000000;68.103616;89.968482;3.000000
3.000000;69.009602;89.968652;3.000000
3.000000;70.821573;89.968802;3.000000
3.000000;71.022903;89.968935;3.000000
3.000000;72.432213;89.969054;3.000000
3.000000;63.372359;89.969159;3.000000
3.000000;64.278344;89.969253;3.000000
3.000000;66.341978;89.969336;3.000000
