input;measured;model;input
2.600000;56.829131;77.973997;2.600000
2.600000;56.124475;77.973997;2.600000
2.600000;57.835781;77.973997;2.600000
2.600000;58.943097;77.973997;2.600000
2.600000;49.480582;77.973997;2.600000
2.600000;53.356187;77.973997;2.600000
2.600000;51.594548;77.973997;2.600000
2.600000;52.701864;77.973997;2.600000
2.600000;55.268822;77.973997;2.600000
2.600000;56.225140;77.973997;2.600000
2.600000;59.597420;77.973997;2.600000
2.600000;49.883242;77.973997;2.600000
2.600000;50.688563;77.973997;2.600000
2.600000;51.091223;77.973997;2.600000
2.600000;52.550866;77.973997;2.600000
2.600000;54.161507;77.973997;2.600000
2.600000;54.010509;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;57.584119;77.973997;2.600000
2.600000;48.926924;77.973997;2.600000
2.600000;49.530915;77.973997;2.600000
2.600000;52.903194;77.973997;2.600000
2.600000;54.060842;77.973997;2.600000
2.600000;56.426471;77.973997;2.600000
2.600000;56.023810;77.973997;2.600000
2.600000;58.590769;77.973997;2.600000
2.600000;59.748417;77.973997;2.600000
2.600000;56.879463;77.973997;2.600000
2.600000;50.185237;77.973997;2.600000
2.600000;52.399869;77.973997;2.600000
2.600000;54.463502;77.973997;2.600000
2.600000;56.023810;77.973997;2.600000
2.600000;58.490104;77.973997;2.600000
2.600000;58.037111;77.973997;2.600000
2.600000;51.292553;77.973997;2.600000
2.600000;50.940225;77.973997;2.600000
2.600000;52.701864;77.973997;2.600000
2.600000;53.708514;77.973997;2.600000
2.600000;56.023810;77.973997;2.600000
2.600000;55.570818;77.973997;2.600000
2.600000;58.490104;77.973997;2.600000
2.600000;53.809179;77.973997;2.600000
2.600000;51.191888;77.973997;2.600000
2.600000;52.198538;77.973997;2.600000
2.600000;55.570818;77.973997;2.600000
2.600000;57.483454;77.973997;2.600000
2.600000;58.389439;77.973997;2.600000
2.600000;59.345757;77.973997;2.600000
2.600000;52.500534;77.973997;2.600000
2.600000;51.091223;77.973997;2.600000
2.600000;51.644881;77.973997;2.600000
2.600000;53.356187;77.973997;2.600000
2.600000;55.268822;77.973997;2.600000
2.600000;58.339107;77.973997;2.600000
2.600000;59.446422;77.973997;2.600000
2.600000;51.695213;77.973997;2.600000
2.600000;53.305854;77.973997;2.600000
2.600000;56.023810;77.973997;2.600000
