input;measured;model;input
3.000000;0.000000;0.000000;3.000000
3.000000;1.161356;10.027864;3.000000
3.000000;1.010358;18.938045;3.000000
3.000000;5.439621;26.855115;3.000000
3.000000;15.707457;33.889766;3.000000
3.000000;12.435842;40.140349;3.000000
3.000000;11.227862;45.694256;3.000000
3.000000;15.002801;50.629136;3.000000
3.000000;27.938261;55.013985;3.000000
3.000000;22.703678;58.910108;3.000000
3.000000;23.710329;62.371977;3.000000
3.000000;38.105431;65.447994;3.000000
3.000000;36.595456;68.181164;3.000000
3.000000;40.823388;70.609702;3.000000
3.000000;43.038019;72.767559;3.000000
3.000000;37.551774;74.684907;3.000000
3.000000;41.880371;76.388551;3.000000
3.000000;41.528043;77.902310;3.000000
3.000000;45.202317;79.247349;3.000000
3.000000;48.624929;80.442473;3.000000
3.000000;43.843339;81.504391;3.000000
3.000000;46.158635;82.447949;3.000000
3.000000;52.601199;83.286341;3.000000
3.000000;47.819609;84.031288;3.000000
3.000000;51.091223;84.693204;3.000000
3.000000;53.154856;85.281344;3.000000
3.000000;48.222269;85.803932;3.000000
3.000000;54.060842;86.268273;3.000000
3.000000;57.231791;86.680860;3.000000
3.000000;54.513835;87.047460;3.000000
3.000000;58.892764;87.373200;3.000000
3.000000;57.936446;87.662634;3.000000
3.000000;53.607849;87.919808;3.000000
3.000000;58.137776;88.148318;3.000000
3.000000;58.842432;88.351359;3.000000
3.000000;61.107395;88.531769;3.000000
3.000000;61.208060;88.692071;3.000000
3.000000;57.936446;88.834507;3.000000
3.000000;55.067492;88.961066;3.000000
3.000000;62.315376;89.073520;3.000000
3.000000;59.094094;89.173440;3.000000
3.000000;57.735116;89.262223;3.000000
3.000000;59.446422;89.341110;3.000000
3.000000;64.127347;89.411205;3.000000
3.000000;64.228012;89.473487;3.000000
3.000000;65.788320;89.528827;3.000000
3.000000;66.442643;89.577999;3.000000
3.000000;65.184330;89.621691;3.000000
3.000000;63.825352;89.660513;3.000000
3.000000;57.433121;89.695007;3.000000
3.000000;62.818701;89.725658;3.000000
3.000000;58.691434;89.752891;3.000000
3.000000;65.033332;89.777090;3.000000
3.000000;58.691434;89.798591;3.000000
3.000000;64.681005;89.817696;3.000000
3.000000;59.094094;89.834672;3.000000
3.000000;65.033332;89.849755;3.000000
3.000000;59.647752;89.863157;3.000000
3.000000;65.788320;89.875066;3.000000
3.000000;60.755068;89.885647;3.000000
3.000000;60.805400;89.895049;3.000000
3.000000;64.228012;89.903403;3.000000
3.000000;68.053284;89.910825;3.000000
3.000000;70.066585;89.917421;3.000000
3.000000;61.812051;89.923281;3.000000
3.000000;65.083665;89.928488;3.000000
3.000000;68.757939;89.933115;3.000000
3.000000;61.409391;89.937226;3.000000
3.000000;64.026682;89.940879;3.000000
3.000000;65.033332;89.944125;3.000000
3.000000;65.687655;89.947009;3.000000
3.000000;67.600291;89.949571;3.000000
3.000000;68.606941;89.951848;3.000000
3.000000;69.663924;89.953872;3.000000
3.000000;59.698085;89.955669;3.000000
3.000000;61.963048;89.957266;3.000000
3.000000;64.026682;89.958686;3.000000
3.000000;66.140648;89.959947;3.000000
3.000000;68.053284;89.961067;3.000000
3.000000;66.241313;89.962063;3.000000
3.000000;66.996301;89.962948;3.000000
3.000000;67.499626;89.963734;3.000000
3.000000;66.392310;89.964432;3.000000
3.000000;66.945968;89.965053;3.000000
3.000000;68.254614;89.965604;3.000000
3.000000;68.908937;89.966094;3.000000
3.000000;59.396090;89.966529;3.000000
3.000000;60.503405;89.966916;3.000000
3.000000;70.771240;89.967260;3.000000
3.000000;69.210932;89.967565;3.000000
3.000000;69.009602;89.967837;3.000000
3.000000;68.103616;89.968078;3.000000
3.000000;66.945968;89.968292;3.000000
3.000000;66.392310;89.968482;3.000000
3.000000;67.700956;89.968652;3.000000
3.000000;67.952619;89.968802;3.000000
3.000000;68.858604;89.968935;3.000000
3.000000;68.908937;89.969054;3.000000
3.000000;66.090315;89.969159;3.000000
3.000000;64.932667;89.969253;3.000000
3.000000;65.133997;89.969336;3.000000
3.000000;62.768369;89.969410;3.000000
3.000000;62.617371;89.969476;3.000000
3.000000;62.818701;89.969534;3.000000
3.000000;63.070364;89.969586;3.000000
3.000000;63.825352;89.969632;3.000000
3.000000;63.724687;89.969673;3.000000
3.000000;61.459723;89.969710;3.000000
3.000000;60.151077;89.969742;3.000000
3.000000;68.556609;89.969771;3.000000
3.000000;67.751289;89.969796;3.000000
3.000000;67.046633;89.969819;3.000000
3.000000;67.398961;89.969839;3.000000
3.000000;67.549958;89.969857;3.000000
3.000000;68.002951;89.969873;3.000000
3.000000;66.945968;89.969887;3.000000
3.000000;64.127347;89.969900;3.000000
3.000000;62.315376;89.969911;3.000000
3.000000;62.265043;89.969921;3.000000
3.000000;65.033332;89.969930;3.000000
3.000000;70.318247;89.969938;3.000000
3.000000;70.871905;89.969945;3.000000
3.000000;69.764590;89.969951;3.000000
3.000000;70.519577;89.969956;3.000000
3.000000;69.512927;89.969961;3.000000
3.000000;66.241313;89.969965;3.000000
3.000000;63.875684;89.969969;3.000000
3.000000;62.869034;89.969973;3.000000
3.000000;70.368580;89.969976;3.000000
3.000000;70.569910;89.969978;3.000000
3.000000;69.613592;89.969981;3.000000
3.000000;69.059934;89.969983;3.000000
3.000000;69.210932;89.969985;3.000000
3.000000;68.153949;89.969987;3.000000
3.000000;66.442643;89.969988;3.000000
3.000000;62.869034;89.969989;3.000000
3.000000;61.107395;89.969991;3.000000
3.000000;71.073235;89.969992;3.000000
3.000000;67.449293;89.969993;3.000000
3.000000;66.442643;89.969993;3.000000
3.000000;65.788320;89.969994;3.000000
3.000000;64.530007;89.969995;3.000000
3.000000;64.278344;89.969995;3.000000
3.000000;63.322026;89.969996;3.000000
3.000000;70.670575;89.969996;3.000000
3.000000;67.902286;89.969997;3.000000
3.000000;66.241313;89.969997;3.000000
3.000000;62.617371;89.969997;3.000000
3.000000;61.459723;89.969998;3.000000
3.000000;60.050412;89.969998;3.000000
3.000000;70.066585;89.969998;3.000000
3.000000;70.217582;89.969998;3.000000
3.000000;68.254614;89.969999;3.000000
3.000000;65.335327;89.969999;3.000000
3.000000;62.164378;89.969999;3.000000
3.000000;61.006730;89.969999;3.000000
3.000000;68.405611;89.969999;3.000000
3.000000;65.888985;89.969999;3.000000
3.000000;64.530007;89.969999;3.000000
3.000000;63.271694;89.969999;3.000000
3.000000;62.365708;89.969999;3.000000
3.000000;61.057063;89.970000;3.000000
3.000000;70.821573;89.970000;3.000000
3.000000;66.442643;89.970000;3.000000
3.000000;63.523357;89.970000;3.000000
3.000000;61.912716;89.970000;3.000000
3.000000;69.965920;89.970000;3.000000
3.000000;67.398961;89.970000;3.000000
3.000000;66.543308;89.970000;3.000000
3.000000;64.429342;89.970000;3.000000
3.000000;64.278344;89.970000;3.000000
3.000000;62.466374;89.970000;3.000000
3.000000;69.361929;89.970000;3.000000
3.000000;66.643973;89.970000;3.000000
3.000000;63.976349;89.970000;3.000000
3.000000;69.009602;89.970000;3.000000
3.000000;70.116917;89.970000;3.000000
3.000000;67.600291;89.970000;3.000000
3.000000;66.190980;89.970000;3.000000
3.000000;65.284995;89.970000;3.000000
3.000000;63.775019;89.970000;3.000000
3.000000;72.532878;89.970000;3.000000
3.000000;68.002951;89.970000;3.000000
3.000000;65.083665;89.970000;3.000000
3.000000;62.416041;89.970000;3.000000
3.000000;70.720907;89.970000;3.000000
3.000000;68.556609;89.970000;3.000000
3.000000;66.895636;89.970000;3.000000
3.000000;65.486325;89.970000;3.000000
3.000000;64.077014;89.970000;3.000000
3.000000;62.516706;89.970000;3.000000
3.000000;69.009602;89.970000;3.000000
3.000000;65.637323;89.970000;3.000000
3.000000;63.573689;89.970000;3.000000
3.000000;70.922238;89.970000;3.000000
3.000000;68.103616;89.970000;3.000000
3.000000;66.341978;89.970000;3.000000
3.000000;63.422691;89.970000;3.000000
3.000000;62.718036;89.970000;3.000000
3.000000;60.302075;89.970000;3.000000
3.000000;66.794971;89.970000;3.000000
3.000000;63.070364;89.970000;3.000000
3.000000;70.519577;89.970000;3.000000
3.000000;66.593641;89.970000;3.000000
3.000000;63.825352;89.970000;3.000000
3.000000;60.654403;89.970000;3.000000
3.000000;69.563259;89.970000;3.000000
3.000000;68.002951;89.970000;3.000000
3.000000;64.983000;89.970000;3.000000
3.000000;61.963048;89.970000;3.000000
3.000000;68.002951;89.970000;3.000000
3.000000;63.875684;89.970000;3.000000
3.000000;68.556609;89.970000;3.000000
3.000000;67.952619;89.970000;3.000000
3.000000;64.429342;89.970000;3.000000
3.000000;62.768369;89.970000;3.000000
3.000000;65.586990;89.970000;3.000000
3.000000;68.556609;89.970000;3.000000
3.000000;66.039983;89.970000;3.000000
