input;measured;model;input
2.000000;0.000000;0.000000;2.000000
2.000000;-0.398953;6.685243;2.000000
2.000000;1.111023;12.625363;2.000000
2.000000;4.181307;17.903410;2.000000
2.000000;7.402589;22.593177;2.000000
2.000000;17.670425;26.760233;2.000000
2.000000;20.388382;30.462837;2.000000
2.000000;22.301018;33.752757;2.000000
2.000000;20.640044;36.675990;2.000000
2.000000;17.217432;39.273405;2.000000
2.000000;16.865105;41.581318;2.000000
2.000000;25.773962;43.631996;2.000000
2.000000;26.830945;45.454110;2.000000
2.000000;30.404555;47.073134;2.000000
2.000000;24.213654;48.511706;2.000000
2.000000;26.126290;49.789938;2.000000
2.000000;32.367523;50.925700;2.000000
2.000000;33.827167;51.934873;2.000000
2.000000;27.485268;52.831566;2.000000
2.000000;30.958213;53.628315;2.000000
2.000000;37.501441;54.336260;2.000000
2.000000;32.770184;54.965300;2.000000
2.000000;35.941133;55.524227;2.000000
2.000000;31.562203;56.020858;2.000000
2.000000;40.773055;56.462136;2.000000
2.000000;39.565075;56.854229;2.000000
2.000000;33.021846;57.202621;2.000000
2.000000;40.068400;57.512182;2.000000
2.000000;34.028497;57.787240;2.000000
2.000000;32.619186;58.031640;2.000000
2.000000;35.437807;58.248800;2.000000
2.000000;38.256429;58.441756;2.000000
2.000000;38.155764;58.613205;2.000000
2.000000;39.011417;58.765545;2.000000
2.000000;36.041798;58.900906;2.000000
2.000000;34.330492;59.021179;2.000000
2.000000;34.934482;59.128048;2.000000
2.000000;41.628708;59.223004;2.000000
2.000000;37.853769;59.307377;2.000000
2.000000;42.232698;59.382347;2.000000
2.000000;44.145334;59.448960;2.000000
2.000000;38.759754;59.508148;2.000000
2.000000;42.031368;59.560740;2.000000
2.000000;35.236477;59.607470;2.000000
2.000000;38.961084;59.648991;2.000000
2.000000;39.061749;59.685885;2.000000
2.000000;44.095002;59.718666;2.000000
2.000000;40.370395;59.747794;2.000000
2.000000;38.659089;59.773675;2.000000
2.000000;42.685691;59.796672;2.000000
2.000000;42.585026;59.817105;2.000000
2.000000;39.363744;59.835261;2.000000
2.000000;40.521393;59.851393;2.000000
2.000000;41.226048;59.865727;2.000000
2.000000;41.578376;59.878464;2.000000
2.000000;42.937354;59.889781;2.000000
2.000000;40.269730;59.899837;2.000000
2.000000;42.534694;59.908771;2.000000
2.000000;44.547995;59.916710;2.000000
2.000000;35.437807;59.923765;2.000000
2.000000;38.709422;59.930032;2.000000
2.000000;38.457759;59.935602;2.000000
2.000000;43.088351;59.940550;2.000000
2.000000;36.243128;59.944947;2.000000
2.000000;38.206096;59.948854;2.000000
2.000000;41.175715;59.952326;2.000000
2.000000;39.162414;59.955410;2.000000
2.000000;41.175715;59.958151;2.000000
2.000000;44.547995;59.960586;2.000000
2.000000;35.337142;59.962750;2.000000
2.000000;39.061749;59.964673;2.000000
2.000000;38.407426;59.966381;2.000000
2.000000;41.024718;59.967899;2.000000
2.000000;45.655310;59.969248;2.000000
2.000000;36.192795;59.970446;2.000000
2.000000;41.276380;59.971511;2.000000
2.000000;42.887021;59.972457;2.000000
2.000000;36.041798;59.973298;2.000000
2.000000;42.534694;59.974045;2.000000
2.000000;45.151985;59.974709;2.000000
2.000000;37.803436;59.975298;2.000000
2.000000;38.256429;59.975822;2.000000
2.000000;38.508092;59.976288;2.000000
2.000000;42.987686;59.976702;2.000000
2.000000;45.000987;59.977069;2.000000
2.000000;38.206096;59.977396;2.000000
2.000000;39.867070;59.977686;2.000000
2.000000;40.722723;59.977944;2.000000
2.000000;38.558424;59.978173;2.000000
2.000000;36.293460;59.978377;2.000000
2.000000;40.924053;59.978558;2.000000
2.000000;44.396997;59.978719;2.000000
2.000000;35.337142;59.978861;2.000000
2.000000;41.930703;59.978988;2.000000
2.000000;45.403648;59.979101;2.000000
2.000000;37.652439;59.979201;2.000000
2.000000;39.967735;59.979290;2.000000
2.000000;38.759754;59.979369;2.000000
2.000000;42.937354;59.979440;2.000000
2.000000;45.554645;59.979502;2.000000
2.000000;37.602106;59.979558;2.000000
2.000000;41.075050;59.979607;2.000000
2.000000;40.471060;59.979651;2.000000
2.000000;45.554645;59.979690;2.000000
2.000000;36.847118;59.979724;2.000000
2.000000;39.917402;59.979755;2.000000
2.000000;44.648660;59.979782;2.000000
2.000000;45.604978;59.979807;2.000000
2.000000;39.766405;59.979828;2.000000
2.000000;45.000987;59.979847;2.000000
2.000000;36.192795;59.979864;2.000000
2.000000;39.565075;59.979879;2.000000
2.000000;38.206096;59.979893;2.000000
2.000000;40.672390;59.979905;2.000000
2.000000;44.497662;59.979915;2.000000
2.000000;35.689470;59.979925;2.000000
2.000000;39.766405;59.979933;2.000000
2.000000;39.665740;59.979941;2.000000
2.000000;42.434029;59.979947;2.000000
2.000000;35.991465;59.979953;2.000000
2.000000;37.904101;59.979958;2.000000
2.000000;43.239349;59.979963;2.000000
2.000000;44.950655;59.979967;2.000000
2.000000;37.451108;59.979971;2.000000
2.000000;44.195667;59.979974;2.000000
2.000000;35.085480;59.979977;2.000000
2.000000;39.162414;59.979980;2.000000
2.000000;39.514742;59.979982;2.000000
2.000000;40.018067;59.979984;2.000000
2.000000;44.698992;59.979986;2.000000
2.000000;35.538472;59.979987;2.000000
2.000000;39.716072;59.979989;2.000000
2.000000;41.326713;59.979990;2.000000
2.000000;42.283031;59.979991;2.000000
2.000000;36.192795;59.979992;2.000000
2.000000;38.155764;59.979993;2.000000
2.000000;43.038019;59.979994;2.000000
2.000000;39.011417;59.979994;2.000000
2.000000;37.501441;59.979995;2.000000
2.000000;44.749325;59.979996;2.000000
2.000000;36.394125;59.979996;2.000000
2.000000;40.169065;59.979997;2.000000
2.000000;42.585026;59.979997;2.000000
2.000000;41.377046;59.979997;2.000000
2.000000;40.219397;59.979998;2.000000
2.000000;37.199446;59.979998;2.000000
2.000000;40.420728;59.979998;2.000000
2.000000;44.245999;59.979998;2.000000
2.000000;43.642009;59.979998;2.000000
2.000000;36.595456;59.979999;2.000000
2.000000;40.169065;59.979999;2.000000
2.000000;43.893672;59.979999;2.000000
2.000000;37.602106;59.979999;2.000000
2.000000;38.558424;59.979999;2.000000
2.000000;44.547995;59.979999;2.000000
2.000000;38.407426;59.979999;2.000000
2.000000;42.333364;59.979999;2.000000
2.000000;36.645788;59.979999;2.000000
2.000000;36.796786;59.980000;2.000000
2.000000;40.471060;59.980000;2.000000
2.000000;35.488140;59.980000;2.000000
2.000000;39.514742;59.980000;2.000000
2.000000;36.293460;59.980000;2.000000
2.000000;39.917402;59.980000;2.000000
2.000000;34.431157;59.980000;2.000000
2.000000;43.793007;59.980000;2.000000
2.000000;38.558424;59.980000;2.000000
2.000000;36.947783;59.980000;2.000000
2.000000;35.035147;59.980000;2.000000
2.000000;42.031368;59.980000;2.000000
2.000000;42.987686;59.980000;2.000000
2.000000;41.276380;59.980000;2.000000
2.000000;39.363744;59.980000;2.000000
2.000000;37.652439;59.980000;2.000000
2.000000;42.031368;59.980000;2.000000
2.000000;39.162414;59.980000;2.000000
2.000000;38.357094;59.980000;2.000000
2.000000;35.135812;59.980000;2.000000
2.000000;35.488140;59.980000;2.000000
2.000000;42.685691;59.980000;2.000000
2.000000;39.615407;59.980000;2.000000
2.000000;41.125383;59.980000;2.000000
2.000000;38.508092;59.980000;2.000000
2.000000;39.565075;59.980000;2.000000
2.000000;39.716072;59.980000;2.000000
2.000000;37.300111;59.980000;2.000000
2.000000;39.766405;59.980000;2.000000
2.000000;41.427378;59.980000;2.000000
2.000000;40.571725;59.980000;2.000000
2.000000;41.226048;59.980000;2.000000
2.000000;36.142463;59.980000;2.000000
2.000000;34.028497;59.980000;2.000000
2.000000;34.733152;59.980000;2.000000
2.000000;33.625836;59.980000;2.000000
2.000000;33.625836;59.980000;2.000000
2.000000;43.692342;59.980000;2.000000
2.000000;39.967735;59.980000;2.000000
2.000000;41.477711;59.980000;2.000000
2.000000;41.226048;59.980000;2.000000
2.000000;41.326713;59.980000;2.000000
2.000000;43.642009;59.980000;2.000000
2.000000;40.571725;59.980000;2.000000
2.000000;43.088351;59.980000;2.000000
2.000000;34.380824;59.980000;2.000000
2.000000;33.323841;59.980000;2.000000
2.000000;34.783485;59.980000;2.000000
2.000000;43.440679;59.980000;2.000000
2.000000;38.910752;59.980000;2.000000
2.000000;40.118732;59.980000;2.000000
2.000000;38.508092;59.980000;2.000000
2.000000;38.910752;59.980000;2.000000
2.000000;39.162414;59.980000;2.000000
2.000000;35.085480;59.980000;2.000000
2.000000;35.437807;59.980000;2.000000
2.000000;37.098781;59.980000;2.000000
2.000000;35.790135;59.980000;2.000000
2.000000;38.105431;59.980000;2.000000
2.000000;36.998116;59.980000;2.000000
2.000000;36.796786;59.980000;2.000000
2.000000;40.722723;59.980000;2.000000
2.000000;40.471060;59.980000;2.000000
2.000000;41.326713;59.980000;2.000000
2.000000;40.521393;59.980000;2.000000
2.000000;34.934482;59.980000;2.000000
2.000000;34.884150;59.980000;2.000000
2.000000;34.783485;59.980000;2.000000
2.000000;33.776834;59.980000;2.000000
2.000000;34.582154;59.980000;2.000000
2.000000;42.031368;59.980000;2.000000
2.000000;41.024718;59.980000;2.000000
2.000000;42.836689;59.980000;2.000000
2.000000;41.226048;59.980000;2.000000
2.000000;42.786356;59.980000;2.000000
2.000000;43.491012;59.980000;2.000000
2.000000;40.773055;59.980000;2.000000
2.000000;32.568853;59.980000;2.000000
2.000000;34.129162;59.980000;2.000000
2.000000;33.474839;59.980000;2.000000
2.000000;33.978164;59.980000;2.000000
2.000000;39.615407;59.980000;2.000000
2.000000;37.300111;59.980000;2.000000
2.000000;38.457759;59.980000;2.000000
2.000000;35.840468;59.980000;2.000000
2.000000;36.897451;59.980000;2.000000
2.000000;34.783485;59.980000;2.000000
2.000000;42.434029;59.980000;2.000000
2.000000;32.518521;59.980000;2.000000
2.000000;42.635359;59.980000;2.000000
2.000000;43.239349;59.980000;2.000000
2.000000;41.779706;59.980000;2.000000
2.000000;41.125383;59.980000;2.000000
2.000000;35.991465;59.980000;2.000000
2.000000;33.676169;59.980000;2.000000
2.000000;32.719851;59.980000;2.000000
2.000000;33.072179;59.980000;2.000000
2.000000;39.967735;59.980000;2.000000
2.000000;36.142463;59.980000;2.000000
2.000000;36.343793;59.980000;2.000000
2.000000;34.481489;59.980000;2.000000
2.000000;33.827167;59.980000;2.000000
2.000000;44.698992;59.980000;2.000000
2.000000;39.414077;59.980000;2.000000
2.000000;39.514742;59.980000;2.000000
2.000000;39.565075;59.980000;2.000000
2.000000;37.904101;59.980000;2.000000
2.000000;39.363744;59.980000;2.000000
2.000000;36.394125;59.980000;2.000000
2.000000;36.243128;59.980000;2.000000
2.000000;38.659089;59.980000;2.000000
2.000000;36.947783;59.980000;2.000000
2.000000;36.645788;59.980000;2.000000
2.000000;45.000987;59.980000;2.000000
2.000000;39.162414;59.980000;2.000000
2.000000;38.306761;59.980000;2.000000
2.000000;36.092130;59.980000;2.000000
2.000000;34.582154;59.980000;2.000000
2.000000;34.330492;59.980000;2.000000
2.000000;39.464410;59.980000;2.000000
2.000000;38.256429;59.980000;2.000000
2.000000;38.558424;59.980000;2.000000
2.000000;35.790135;59.980000;2.000000
2.000000;36.545123;59.980000;2.000000
2.000000;34.330492;59.980000;2.000000
2.000000;32.719851;59.980000;2.000000
2.000000;34.431157;59.980000;2.000000
2.000000;44.296332;59.980000;2.000000
2.000000;44.145334;59.980000;2.000000
2.000000;40.672390;59.980000;2.000000
2.000000;34.531822;59.980000;2.000000
2.000000;33.122511;59.980000;2.000000
2.000000;42.132033;59.980000;2.000000
2.000000;40.118732;59.980000;2.000000
2.000000;39.363744;59.980000;2.000000
2.000000;45.302983;59.980000;2.000000
2.000000;43.893672;59.980000;2.000000
2.000000;43.491012;59.980000;2.000000
2.000000;40.420728;59.980000;2.000000
2.000000;40.672390;59.980000;2.000000
2.000000;38.810087;59.980000;2.000000
2.000000;35.890800;59.980000;2.000000
2.000000;38.105431;59.980000;2.000000
2.000000;36.243128;59.980000;2.000000
