input;measured;model;input
4.000000;0.000000;0.000000;4.000000
4.000000;-0.348620;13.370486;4.000000
4.000000;7.050262;25.250726;4.000000
4.000000;9.365558;35.806820;4.000000
4.000000;14.700806;45.186354;4.000000
4.000000;25.975292;53.520465;4.000000
4.000000;24.666647;60.925674;4.000000
4.000000;36.293460;67.505514;4.000000
4.000000;34.229827;73.351980;4.000000
4.000000;46.762626;78.546810;4.000000
4.000000;45.302983;83.162636;4.000000
4.000000;56.275473;87.263992;4.000000
4.000000;52.047541;90.908219;4.000000
4.000000;57.181458;94.146269;4.000000
4.000000;63.372359;97.023412;4.000000
4.000000;61.107395;99.579875;4.000000
4.000000;61.560388;101.851401;4.000000
4.000000;73.589861;103.869747;4.000000
4.000000;68.757939;105.663132;4.000000
4.000000;69.160599;107.256630;4.000000
4.000000;72.985871;108.672521;4.000000
4.000000;71.425563;109.930599;4.000000
4.000000;79.176771;111.048455;4.000000
4.000000;80.686747;112.041717;4.000000
4.000000;84.361021;112.924272;4.000000
4.000000;82.146390;113.708459;4.000000
4.000000;88.739951;114.405242;4.000000
4.000000;79.579432;115.024364;4.000000
4.000000;89.595604;115.574479;4.000000
4.000000;83.706699;116.063280;4.000000
4.000000;84.562352;116.497600;4.000000
4.000000;83.757031;116.883512;4.000000
4.000000;90.501589;117.226411;4.000000
4.000000;87.531970;117.531091;4.000000
4.000000;87.582303;117.801812;4.000000
4.000000;88.689618;118.042359;4.000000
4.000000;97.900470;118.256095;4.000000
4.000000;92.665888;118.446009;4.000000
4.000000;97.799805;118.614755;4.000000
4.000000;90.300259;118.764693;4.000000
4.000000;92.917550;118.897919;4.000000
4.000000;94.276529;119.016297;4.000000
4.000000;93.823536;119.121480;4.000000
4.000000;90.954582;119.214940;4.000000
4.000000;98.202465;119.297982;4.000000
4.000000;93.219546;119.371769;4.000000
4.000000;99.813106;119.437332;4.000000
4.000000;94.024866;119.495588;4.000000
4.000000;98.605126;119.547350;4.000000
4.000000;101.977405;119.593343;4.000000
4.000000;93.471208;119.634210;4.000000
4.000000;96.038167;119.670522;4.000000
4.000000;97.195815;119.702786;4.000000
4.000000;95.937502;119.731455;4.000000
4.000000;94.578524;119.756928;4.000000
4.000000;104.192036;119.779562;4.000000
4.000000;101.524412;119.799673;4.000000
4.000000;100.165434;119.817543;4.000000
