input;measured;model;input
2.600000;0.000000;0.000000;2.600000
2.600000;1.161356;8.690816;2.600000
2.600000;1.060690;16.412971;2.600000
2.600000;2.419669;23.274432;2.600000
2.600000;8.962898;29.371129;2.600000
2.600000;1.916343;34.788301;2.600000
2.600000;2.268671;39.601687;2.600000
2.600000;1.111023;43.878583;2.600000
2.600000;3.375987;47.678785;2.600000
2.600000;1.161356;51.055425;2.600000
2.600000;1.161356;54.055711;2.600000
2.600000;1.111023;56.721593;2.600000
2.600000;1.161356;59.090340;2.600000
2.600000;1.161356;61.195072;2.600000
2.600000;2.470001;63.065216;2.600000
2.600000;1.161356;64.726917;2.600000
2.600000;10.925866;66.203408;2.600000
2.600000;3.979977;67.515333;2.600000
2.600000;12.536507;68.681033;2.600000
2.600000;14.851804;69.716807;2.600000
2.600000;11.378859;70.637136;2.600000
2.600000;22.955341;71.454887;2.600000
2.600000;26.881278;72.181493;2.600000
2.600000;20.942040;72.827113;2.600000
2.600000;26.579283;73.400774;2.600000
2.600000;23.710329;73.910496;2.600000
2.600000;32.065528;74.363405;2.600000
2.600000;31.260208;74.765834;2.600000
2.600000;33.625836;75.123409;2.600000
2.600000;32.820516;75.441129;2.600000
2.600000;35.790135;75.723437;2.600000
2.600000;29.297239;75.974280;2.600000
2.600000;40.924053;76.197164;2.600000
2.600000;31.964863;76.395206;2.600000
2.600000;36.847118;76.571175;2.600000
2.600000;40.420728;76.727530;2.600000
2.600000;38.709422;76.866459;2.600000
2.600000;37.249778;76.989903;2.600000
2.600000;42.736024;77.099588;2.600000
2.600000;36.746453;77.197048;2.600000
2.600000;44.849990;77.283645;2.600000
2.600000;43.541344;77.360590;2.600000
2.600000;37.501441;77.428959;2.600000
2.600000;45.906973;77.489708;2.600000
2.600000;39.665740;77.543686;2.600000
2.600000;47.114953;77.591647;2.600000
2.600000;39.414077;77.634263;2.600000
2.600000;45.101652;77.672129;2.600000
2.600000;44.598327;77.705775;2.600000
2.600000;48.977257;77.735670;2.600000
2.600000;45.252650;77.762234;2.600000
2.600000;45.302983;77.785836;2.600000
2.600000;54.564167;77.806808;2.600000
2.600000;52.752196;77.825443;2.600000
2.600000;46.309633;77.842000;2.600000
2.600000;54.211839;77.856712;2.600000
2.600000;49.228919;77.869785;2.600000
2.600000;46.611628;77.881400;2.600000
2.600000;52.349536;77.891721;2.600000
2.600000;48.020939;77.900891;2.600000
2.600000;48.926924;77.909039;2.600000
2.600000;51.997208;77.916279;2.600000
2.600000;47.567946;77.922712;2.600000
2.600000;43.742674;77.928429;2.600000
2.600000;52.550866;77.933508;2.600000
2.600000;48.121604;77.938020;2.600000
2.600000;54.463502;77.942030;2.600000
2.600000;46.863291;77.945593;2.600000
2.600000;53.658182;77.948759;2.600000
2.600000;47.718944;77.951572;2.600000
2.600000;53.909844;77.954072;2.600000
2.600000;46.158635;77.956292;2.600000
2.600000;54.010509;77.958266;2.600000
2.600000;48.020939;77.960019;2.600000
2.600000;55.369488;77.961577;2.600000
2.600000;48.574597;77.962961;2.600000
2.600000;45.554645;77.964191;2.600000
2.600000;51.795878;77.965284;2.600000
2.600000;47.467281;77.966255;2.600000
2.600000;49.883242;77.967118;2.600000
2.600000;44.296332;77.967885;2.600000
2.600000;49.178587;77.968566;2.600000
2.600000;55.772148;77.969172;2.600000
2.600000;46.913623;77.969709;2.600000
2.600000;53.104524;77.970187;2.600000
2.600000;46.661961;77.970612;2.600000
2.600000;52.651531;77.970989;2.600000
2.600000;46.108303;77.971325;2.600000
2.600000;52.500534;77.971622;2.600000
2.600000;47.517614;77.971887;2.600000
2.600000;53.456852;77.972122;2.600000
2.600000;50.487233;77.972331;2.600000
2.600000;49.379917;77.972517;2.600000
2.600000;54.262172;77.972682;2.600000
2.600000;47.819609;77.972828;2.600000
2.600000;52.299204;77.972959;2.600000
2.600000;47.970606;77.973074;2.600000
2.600000;49.933575;77.973177;2.600000
2.600000;55.721815;77.973269;2.600000
2.600000;49.279252;77.973350;2.600000
2.600000;53.406519;77.973422;2.600000
2.600000;48.876592;77.973486;2.600000
2.600000;54.513835;77.973543;2.600000
2.600000;48.020939;77.973594;2.600000
2.600000;49.732245;77.973639;2.600000
2.600000;55.168157;77.973679;2.600000
2.600000;47.416949;77.973714;2.600000
2.600000;52.550866;77.973746;2.600000
2.600000;55.218490;77.973774;2.600000
2.600000;49.178587;77.973799;2.600000
2.600000;52.852861;77.973821;2.600000
2.600000;47.165286;77.973840;2.600000
2.600000;50.587898;77.973858;2.600000
2.600000;46.007638;77.973873;2.600000
2.600000;49.983907;77.973887;2.600000
2.600000;53.054191;77.973899;2.600000
2.600000;46.561296;77.973910;2.600000
2.600000;50.336235;77.973920;2.600000
2.600000;54.362837;77.973929;2.600000
2.600000;48.272602;77.973936;2.600000
2.600000;49.933575;77.973943;2.600000
2.600000;55.168157;77.973949;2.600000
2.600000;47.869941;77.973954;2.600000
2.600000;52.852861;77.973959;2.600000
2.600000;57.080793;77.973963;2.600000
2.600000;50.436900;77.973967;2.600000
2.600000;55.520485;77.973971;2.600000
2.600000;48.926924;77.973973;2.600000
2.600000;51.745546;77.973976;2.600000
2.600000;54.362837;77.973978;2.600000
2.600000;46.611628;77.973981;2.600000
2.600000;50.738895;77.973982;2.600000
2.600000;53.406519;77.973984;2.600000
2.600000;45.806308;77.973985;2.600000
2.600000;49.228919;77.973987;2.600000
2.600000;53.054191;77.973988;2.600000
2.600000;57.332456;77.973989;2.600000
2.600000;48.826259;77.973990;2.600000
2.600000;54.060842;77.973991;2.600000
2.600000;46.460631;77.973991;2.600000
2.600000;49.983907;77.973992;2.600000
2.600000;50.789228;77.973993;2.600000
2.600000;54.916495;77.973993;2.600000
2.600000;46.359966;77.973994;2.600000
2.600000;49.480582;77.973994;2.600000
2.600000;51.292553;77.973994;2.600000
2.600000;55.772148;77.973995;2.600000
2.600000;47.114953;77.973995;2.600000
2.600000;51.544216;77.973995;2.600000
2.600000;53.658182;77.973995;2.600000
2.600000;47.567946;77.973996;2.600000
2.600000;51.292553;77.973996;2.600000
2.600000;55.218490;77.973996;2.600000
2.600000;55.923145;77.973996;2.600000
2.600000;48.171936;77.973996;2.600000
2.600000;50.386568;77.973996;2.600000
2.600000;55.319155;77.973996;2.600000
2.600000;56.174808;77.973996;2.600000
2.600000;49.027589;77.973997;2.600000
2.600000;52.248871;77.973997;2.600000
2.600000;45.806308;77.973997;2.600000
2.600000;47.718944;77.973997;2.600000
2.600000;53.708514;77.973997;2.600000
