input;measured;model;input
1.000000;0.000000;0.000000;1.000000
1.000000;1.060690;3.342621;1.000000
1.000000;1.111023;6.312682;1.000000
1.000000;6.697934;8.951705;1.000000
1.000000;6.144276;11.296589;1.000000
1.000000;1.211688;13.380116;1.000000
1.000000;1.111023;15.231419;1.000000
1.000000;1.111023;16.876379;1.000000
1.000000;1.060690;18.337995;1.000000
1.000000;1.161356;19.636703;1.000000
1.000000;1.060690;20.790659;1.000000
1.000000;1.060690;21.815998;1.000000
1.000000;0.909693;22.727055;1.000000
1.000000;1.060690;23.536567;1.000000
1.000000;1.111023;24.255853;1.000000
1.000000;0.909693;24.894969;1.000000
1.000000;1.111023;25.462850;1.000000
1.000000;1.060690;25.967437;1.000000
1.000000;1.111023;26.415783;1.000000
1.000000;1.010358;26.814158;1.000000
1.000000;1.111023;27.168130;1.000000
1.000000;1.211688;27.482650;1.000000
1.000000;0.960025;27.762114;1.000000
1.000000;1.211688;28.010429;1.000000
1.000000;1.161356;28.231068;1.000000
1.000000;0.809028;28.427115;1.000000
1.000000;1.111023;28.601311;1.000000
1.000000;1.060690;28.756091;1.000000
1.000000;1.060690;28.893620;1.000000
1.000000;1.010358;29.015820;1.000000
1.000000;1.060690;29.124400;1.000000
1.000000;1.111023;29.220878;1.000000
1.000000;1.060690;29.306603;1.000000
1.000000;1.211688;29.382773;1.000000
1.000000;1.161356;29.450453;1.000000
1.000000;1.111023;29.510590;1.000000
1.000000;1.060690;29.564024;1.000000
1.000000;0.809028;29.611502;1.000000
1.000000;1.161356;29.653689;1.000000
1.000000;1.060690;29.691173;1.000000
1.000000;1.161356;29.724480;1.000000
1.000000;1.111023;29.754074;1.000000
1.000000;1.060690;29.780370;1.000000
1.000000;1.111023;29.803735;1.000000
1.000000;0.809028;29.824496;1.000000
1.000000;1.060690;29.842942;1.000000
1.000000;1.161356;29.859333;1.000000
1.000000;1.111023;29.873897;1.000000
1.000000;1.111023;29.886838;1.000000
1.000000;1.111023;29.898336;1.000000
1.000000;1.161356;29.908553;1.000000
