input;measured;model;input
3.000000;0.000000;0.000000;3.000000
3.000000;-0.398953;10.027864;3.000000
3.000000;9.466223;18.938045;3.000000
3.000000;10.875534;26.855115;3.000000
3.000000;5.187958;33.889766;3.000000
3.000000;9.667553;40.140349;3.000000
3.000000;3.375987;45.694256;3.000000
3.000000;5.489953;50.629136;3.000000
3.000000;13.895486;55.013985;3.000000
3.000000;11.378859;58.910108;3.000000
3.000000;11.479524;62.371977;3.000000
3.000000;23.156671;65.447994;3.000000
3.000000;29.548902;68.181164;3.000000
3.000000;24.263986;70.609702;3.000000
3.000000;26.830945;72.767559;3.000000
3.000000;33.122511;74.684907;3.000000
3.000000;37.853769;76.388551;3.000000
3.000000;39.514742;77.902310;3.000000
3.000000;37.300111;79.247349;3.000000
3.000000;35.890800;80.442473;3.000000
3.000000;41.175715;81.504391;3.000000
3.000000;49.178587;82.447949;3.000000
3.000000;39.414077;83.286341;3.000000
3.000000;40.672390;84.031288;3.000000
3.000000;47.920274;84.693204;3.000000
3.000000;43.994337;85.281344;3.000000
3.000000;50.789228;85.803932;3.000000
3.000000;49.933575;86.268273;3.000000
3.000000;45.504313;86.680860;3.000000
3.000000;50.336235;87.047460;3.000000
3.000000;50.386568;87.373200;3.000000
3.000000;50.336235;87.662634;3.000000
3.000000;57.986779;87.919808;3.000000
3.000000;50.789228;88.148318;3.000000
3.000000;49.983907;88.351359;3.000000
3.000000;49.480582;88.531769;3.000000
3.000000;59.446422;88.692071;3.000000
3.000000;56.476803;88.834507;3.000000
3.000000;55.621150;88.961066;3.000000
3.000000;57.483454;89.073520;3.000000
3.000000;51.242221;89.173440;3.000000
3.000000;55.570818;89.262223;3.000000
3.000000;58.792099;89.341110;3.000000
3.000000;61.610721;89.411205;3.000000
3.000000;62.063713;89.473487;3.000000
3.000000;58.238441;89.528827;3.000000
3.000000;55.822480;89.577999;3.000000
3.000000;53.658182;89.621691;3.000000
3.000000;60.654403;89.660513;3.000000
3.000000;56.376138;89.695007;3.000000
3.000000;64.630672;89.725658;3.000000
3.000000;62.365708;89.752891;3.000000
3.000000;54.866162;89.777090;3.000000
3.000000;58.691434;89.798591;3.000000
3.000000;63.070364;89.817696;3.000000
3.000000;65.335327;89.834672;3.000000
3.000000;58.540437;89.849755;3.000000
3.000000;63.020031;89.863157;3.000000
3.000000;66.241313;89.875066;3.000000
3.000000;58.741767;89.885647;3.000000
3.000000;61.208060;89.895049;3.000000
3.000000;61.359058;89.903403;3.000000
3.000000;60.755068;89.910825;3.000000
3.000000;61.459723;89.917421;3.000000
3.000000;63.020031;89.923281;3.000000
3.000000;62.063713;89.928488;3.000000
3.000000;63.724687;89.933115;3.000000
3.000000;65.637323;89.937226;3.000000
3.000000;66.241313;89.940879;3.000000
3.000000;56.728466;89.944125;3.000000
3.000000;56.929796;89.947009;3.000000
3.000000;66.291645;89.949571;3.000000
3.000000;63.322026;89.951848;3.000000
3.000000;62.114046;89.953872;3.000000
3.000000;62.013381;89.955669;3.000000
