input;measured;model;input
5.000000;0.000000;0.000000;5.000000
5.000000;1.060690;16.713107;5.000000
5.000000;11.127196;31.563408;5.000000
5.000000;23.760661;44.758525;5.000000
5.000000;22.854676;56.482943;5.000000
5.000000;40.219397;66.900582;5.000000
5.000000;44.095002;76.157093;5.000000
5.000000;58.691434;84.381893;5.000000
5.000000;64.228012;91.689974;5.000000
5.000000;64.530007;98.183513;5.000000
5.000000;73.589861;103.953295;5.000000
5.000000;77.868126;109.079990;5.000000
5.000000;72.281216;113.635274;5.000000
5.000000;84.310689;117.682836;5.000000
5.000000;76.962140;121.279265;5.000000
5.000000;80.888077;124.474844;5.000000
5.000000;84.310689;127.314251;5.000000
5.000000;90.652587;129.837183;5.000000
5.000000;90.400924;132.078915;5.000000
5.000000;90.501589;134.070788;5.000000
5.000000;97.296480;135.840651;5.000000
5.000000;96.994485;137.413249;5.000000
5.000000;100.618427;138.810569;5.000000
5.000000;108.822628;140.052146;5.000000
5.000000;100.316431;141.155340;5.000000
5.000000;110.030609;142.135574;5.000000
5.000000;104.091371;143.006553;5.000000
5.000000;105.802677;143.780455;5.000000
5.000000;113.553885;144.468099;5.000000
5.000000;107.765645;145.079100;5.000000
5.000000;111.339254;145.622000;5.000000
5.000000;116.473172;146.104390;5.000000
5.000000;112.647900;146.533013;5.000000
5.000000;116.171176;146.913863;5.000000
5.000000;115.919514;147.252265;5.000000
5.000000;113.805548;147.552949;5.000000
5.000000;121.556757;147.820119;5.000000
5.000000;116.523504;148.057511;5.000000
5.000000;120.902434;148.268444;5.000000
5.000000;120.952766;148.455866;5.000000
5.000000;120.248111;148.622399;5.000000
5.000000;117.983147;148.770371;5.000000
5.000000;116.020179;148.901850;5.000000
5.000000;123.419060;149.018674;5.000000
5.000000;116.221509;149.122478;5.000000
5.000000;119.291793;149.214712;5.000000
5.000000;122.110414;149.296665;5.000000
5.000000;125.080033;149.369485;5.000000
5.000000;127.244332;149.434188;5.000000
5.000000;119.090463;149.491679;5.000000
5.000000;126.137016;149.542763;5.000000
5.000000;120.852101;149.588152;5.000000
5.000000;126.690674;149.628483;5.000000
5.000000;121.858752;149.664319;5.000000
5.000000;128.653643;149.696160;5.000000
5.000000;120.852101;149.724453;5.000000
5.000000;123.620390;149.749592;5.000000
5.000000;127.596660;149.771929;5.000000
5.000000;120.499774;149.791776;5.000000
5.000000;123.972718;149.809411;5.000000
5.000000;125.684024;149.825081;5.000000
5.000000;127.043002;149.839004;5.000000
5.000000;130.113286;149.851376;5.000000
5.000000;121.808419;149.862368;5.000000
5.000000;123.821720;149.872135;5.000000
5.000000;124.576708;149.880814;5.000000
5.000000;125.080033;149.888525;5.000000
5.000000;127.294664;149.895377;5.000000
5.000000;129.056303;149.901465;5.000000
5.000000;130.415281;149.906875;5.000000
5.000000;129.408630;149.911682;5.000000
5.000000;129.056303;149.915952;5.000000
5.000000;129.307965;149.919747;5.000000
5.000000;130.314616;149.923119;5.000000
5.000000;129.358298;149.926115;5.000000
5.000000;127.646992;149.928777;5.000000
5.000000;125.684024;149.931143;5.000000
5.000000;125.382028;149.933245;5.000000
5.000000;124.526376;149.935112;5.000000
5.000000;122.764737;149.936772;5.000000
5.000000;131.371599;149.938246;5.000000
5.000000;128.351647;149.939556;5.000000
5.000000;127.143667;149.940720;5.000000
5.000000;125.482693;149.941754;5.000000
5.000000;122.613740;149.942673;5.000000
